feature,mean_abs_shap
f_log_qglofas,0.8227474197026821
f_log_qglofas_lag1,0.5249824504062525
f_log_qglofas_roc,0.3930068254652605
f_log_qglofas_rmean3,0.19168351780130766
t2m_mean,0.13906606521731985
f_log_qglofas_rmean9,0.12890261731758806
f_doy_cos,0.11500768353131825
swvl1,0.11468471218726918
swe,0.11377716746068052
f_log_qglofas_lag3,0.09832334136888977
q_mm,0.09716880882029166
h_min,0.0938755939888853
q_km3a,0.08926516067378289
f_swe_lag3,0.0867926055103577
q_m3s,0.08473584713824948
f_scf_cold,0.08044716592774798
f_scf_amp,0.07773403851887056
f_log_qglofas_rstd3,0.07656822318433822
regime_id,0.07592908227631857
hurs_range,0.07591638672360047
h_max,0.07183082225710928
lc_30,0.06827093756052832
smlt,0.06764542001723649
lc_116,0.06726746713306321
f_doy_sin,0.06617920215198504
f_log_qglofas_rstd9,0.06592982595286218
f_t2m_rmean9,0.06586239483469637
f_decade_sin,0.06576780989321257
lc_126,0.06541055139002656
f_swe_rmean3,0.06469348205620044
f_t2m_rmean3,0.061524381281369424
f_scf_ann,0.06123938463175482
f_log_qglofas_lag2,0.05774065575305187
tp,0.054605754007024776
basin_order,0.053961240407501034
sfcWind_range,0.051581012797096024
pet_cs_cgiar,0.05043010255128455
bio15,0.0489511531931345
slope,0.048300120460223556
roughness,0.04688434388860786
f_pr_amp,0.046629747878761
f_decade_cos,0.0458348018835651
f_swe_lag9,0.04542087909154363
pr_ann_chpclim,0.04517090775084055
ai_ann_cgiar,0.043850487188807574
f_melt_season,0.04332688773180174
bio17,0.04319116230443403
f_t2m_ft_crossings,0.042812464973298645
lgd,0.04251964683140315
f_swe_rmean9,0.04208977807398005
sfcWind_max,0.04051528823980537
area_km2,0.0398492703549999
hurs_mean,0.039830305537142785
hurs_min,0.039326036884301974
f_freeze_thaw,0.03874072550448121
f_smlt_rsum9,0.0384096277047276
kg1,0.03827306635894167
lc_20,0.037918454949018555
sfcWind_mean,0.03769992024050865
sf,0.03701679289946746
f_smlt_rsum3,0.036816243088754703
kg3,0.03662974330415097
f_pdd_cum,0.03614533335511681
f_log_qglofas_rstd6,0.03530823553747086
bio14,0.03515354067582897
lc_50,0.03506048377132683
bio7,0.03213900626482287
f_t2m_rmean6,0.03200275354870691
gl_fr,0.03197369512315198
lc_113,0.03193032987176661
fcf,0.03113059193829758
bio16,0.03102030084717534
flowdir,0.03094844126066906
f_swe_lag6,0.030534971588562013
tcc_mean,0.030158874663895257
gl_dmdtda_mma,0.02951201822169362
gsp,0.02931777787977413
pr_ann_worldclim,0.028583736584354993
bio4,0.02766862426549825
tri,0.027370037506819354
gsl,0.02720547137162558
vpd_min,0.02521571062819664
lc_100,0.025175742151817573
f_log_qglofas_rmean6,0.024658917044498938
sfcWind_min,0.024016982815098124
bio19,0.023268888482926315
lc_121,0.022327472156998263
lc_115,0.02204237315690926
f_swe_rmean6,0.021712648510708827
kg0,0.021608059298162327
gst,0.020738426937531994
fgd,0.020154661307295832
aspect,0.01905642386820083
tpi,0.01831782057427537
tcc_max,0.018272387650016035
gdd5,0.018199005387110105
lc_40,0.01794149253941097
gddlgd0,0.017781945421295613
bio9,0.017346472684233383
gdgfgd10,0.016994295870943654
npp,0.016928717603348055
bio2,0.016493810867121077
f_smlt_rsum6,0.016005631651196214
h_mean,0.01585916317505892
bio8,0.01582311794831183
f_tas_amp,0.015507993441630665
bio3,0.01538695606195613
bio18,0.01527787615283834
kg4,0.01483744208291648
pet_ann_cgiar,0.014788651987236591
lc_124,0.014184340485944998
bio6,0.014129292531338903
f_scf_melt,0.014089103622842072
hurs_max,0.01381201173389476
lc_90,0.012997577749034227
tcc_range,0.012673663098278233
gdgfgd5,0.012557606208035954
kg5,0.012527461193532888
gdd10,0.012362582642952485
gl_dmdt_km3a,0.011813126117057062
LON,0.011572969245293203
lc_111,0.011411953545747254
gddlgd10,0.01138652074501849
fs_ann_chelsa,0.011175408633538525
pet_penman_min,0.011147315749207163
kg2,0.011127965320554834
lc_123,0.010665299526747428
LAT,0.010587749798842533
f_pr_melt,0.010527445350586298
vpd_range,0.010203648226648453
lc_114,0.009872931193920036
pet_penman_max,0.009806016589015656
pet_penman_mean,0.009720657581608307
scd,0.009473204241620986
bio5,0.009213262525612697
bio12,0.00904859488530335
gl_V_km3,0.008912149211514269
pet_penman_range,0.008553347879059824
vpd_max,0.007810286553770051
f_pr_ann,0.0077902699984896285
wi,0.007612635409059554
ai_ann_bio_chelsa,0.007345401874586388
bio13,0.007159946629435319
gdd0,0.0071107747478075245
ngd10,0.0068874570377625705
f_tas_melt,0.006816369474211191
tcc_min,0.006723872735889735
f_tas_ann,0.006518695919992462
dnstr_gaug,0.00648827983675927
lc_80,0.006437356477363113
f_pr_cold,0.006221161302331144
gdgfgd0,0.005890559201116991
f_tas_cold,0.005678480875860419
lc_60,0.00554180256079897
ngd5,0.005450711675982353
ngd0,0.0054014232812386945
gl_A_km2,0.0051585540390860695
pet_ws_cgiar,0.005134161710566459
bio11,0.005086016883052373
bio10,0.004657434134443103
vpd_mean,0.00464633837245066
gddlgd5,0.004593708316860133
bio1,0.004498887413775325
f_rain_on_snow,0.0038419731343180695
lc_70,0.003812944160095618
lc_112,0.0
lc_122,0.0
lc_125,0.0
