model,split,fold,code,basin,domain,n,kge,kge_raw,kge_ss,kge_ss_raw,nse,nse_raw,lognse,lognse_raw,pbias,pbias_raw,kge_r,kge_r_raw,kge_beta,kge_beta_raw,kge_gamma,kge_gamma_raw,peak_timing_err,peak_timing_err_raw,crps,crps_raw
scaling,temporal,,16055,NARYN,core,4277,0.5145469303111143,0.1448698637487047,0.6567328424751633,0.3953316818597328,0.19652583384950084,-0.5237234921383331,0.7926746895379249,-3.239259267484095,-0.01497899915516661,-80.56292718853125,0.7862737344559588,0.7447508919768303,0.9998502100084483,0.19437072811468747,1.4358735411216406,1.1306021403349742,14.285714285714286,11.071428571428571,,
scaling,temporal,,16068,NARYN,core,3327,0.14147091529317923,-0.07808880020113707,0.3929282623579272,0.23767609865650707,-0.5332068380627162,-0.7754933672265536,0.07055015142035614,-10.956201049790947,-18.82650264951348,-83.98716378845815,0.49989635190876286,0.5075899936101249,0.8117349735048653,0.16012836211541848,1.6719559585658526,1.4630588284476613,22.8,36.13333333333333,,
qmap,temporal,,16055,NARYN,core,4277,0.7032805968464497,0.1448698637487047,0.7901876979204996,0.3953316818597328,0.43935561286726665,-0.5237234921383331,0.3586163846877862,-3.239259267484095,-3.5068261331320043,-80.56292718853125,0.7600551455530312,0.7447508919768303,0.9649317386686801,0.19437072811468747,1.1709944094975633,1.1306021403349742,11.071428571428571,11.071428571428571,,
qmap,temporal,,16068,NARYN,core,3327,0.459590490426682,-0.07808880020113707,0.6178727711630104,0.23767609865650707,0.12737528175651236,-0.7754933672265536,-0.12340499425600049,-10.956201049790947,-21.35670049986175,-83.98716378845815,0.50469021792057,0.5075899936101249,0.7864329950013826,0.16012836211541848,0.9668368851037442,1.4630588284476613,36.13333333333333,36.13333333333333,,
xgb,temporal,,16055,NARYN,core,4277,0.9044062648432635,0.1448698637487047,0.9324050216317207,0.3953316818597328,0.8424489513436814,-0.5237234921383331,0.8990438174958988,-3.239259267484095,-4.98881974411397,-80.56292718853125,0.9207583878055422,0.7447508919768303,0.9501118025588603,0.19437072811468747,1.0192379014997297,1.1306021403349742,12.142857142857142,11.071428571428571,,
xgb,temporal,,16068,NARYN,core,3327,0.6739775738844407,-0.07808880020113707,0.7694673316747979,0.23767609865650707,0.5249892786684667,-0.7754933672265536,0.5529083590198972,-10.956201049790947,-22.85815399687631,-83.98716378845815,0.772874604146045,0.5075899936101249,0.771418460031237,0.16012836211541848,1.0495495355575448,1.4630588284476613,32.93333333333333,36.13333333333333,,
lgbm,temporal,,16055,NARYN,core,4277,0.9010865544418152,0.1448698637487047,0.9300576318952811,0.3953316818597328,0.8356259072810456,-0.5237234921383331,0.8960303573234258,-3.239259267484095,-5.10110823440693,-80.56292718853125,0.9171878642029546,0.7447508919768303,0.9489889176559307,0.19437072811468747,1.0179969262656237,1.1306021403349742,13.0,11.071428571428571,,
lgbm,temporal,,16068,NARYN,core,3327,0.6778535470890943,-0.07808880020113707,0.7722080586115058,0.23767609865650707,0.5269384389946078,-0.7754933672265536,0.5637268543166285,-10.956201049790947,-22.050020633623948,-83.98716378845815,0.7717431243922959,0.5075899936101249,0.7794997936637605,0.16012836211541848,1.0552882886926638,1.4630588284476613,33.06666666666667,36.13333333333333,,
catboost,temporal,,16055,NARYN,core,4277,0.9059786903338971,0.1448698637487047,0.9335168943590584,0.3953316818597328,0.8525541990832506,-0.5237234921383331,0.9026182022783438,-3.239259267484095,-5.457483918570168,-80.56292718853125,0.9261236564219947,0.7447508919768303,0.9454251608142983,0.19437072811468747,1.0200967524423354,1.1306021403349742,9.142857142857142,11.071428571428571,,
catboost,temporal,,16068,NARYN,core,3327,0.6456758037230176,-0.07808880020113707,0.7494549580740724,0.23767609865650707,0.4765919398104528,-0.7754933672265536,0.5615554535645686,-10.956201049790947,-23.815567570156407,-83.98716378845815,0.7471879000855706,0.5075899936101249,0.7618443242984361,0.16012836211541848,1.0700967355539301,1.4630588284476613,36.0,36.13333333333333,,
ealstm,temporal,,16055,NARYN,core,4277,0.8931649677546605,0.1448698637487047,0.924456224231037,0.3953316818597328,0.8382270656724585,-0.5237234921383331,0.8958317083098623,-3.239259267484095,-6.12531420604234,-80.56292718853125,0.9195239819037058,0.7447508919768303,0.9387468579395766,0.19437072811468747,1.0344294527106264,1.1306021403349742,5.714285714285714,11.071428571428571,,
ealstm,temporal,,16068,NARYN,core,3327,0.7587570313567478,-0.07808880020113707,0.8294154609587827,0.23767609865650707,0.6178743044053214,-0.7754933672265536,0.736429920866468,-10.956201049790947,-14.234127115361677,-83.98716378845815,0.805248100080537,0.5075899936101249,0.8576587288463833,0.16012836211541848,1.0029715187936825,1.4630588284476613,38.8,36.13333333333333,,
regimeprobnet,temporal,,16055,NARYN,core,4277,0.8832290658442512,0.1448698637487047,0.9174304806129822,0.3953316818597328,0.7940546464356011,-0.5237234921383331,0.8527796126173498,-3.239259267484095,-4.132931174195895,-80.56292718853125,0.8975878036358731,0.7447508919768303,0.9586706882580411,0.19437072811468747,1.037935222292979,1.1306021403349742,13.357142857142858,11.071428571428571,18.849582005745358,
regimeprobnet,temporal,,16068,NARYN,core,3327,0.7608160612676698,-0.07808880020113707,0.8308714149714616,0.23767609865650707,0.5827867280002131,-0.7754933672265536,0.7335272365520378,-10.956201049790947,-10.009667789440588,-83.98716378845815,0.7834400196717958,0.5075899936101249,0.8999033221055942,0.16012836211541848,1.0170700481036954,1.4630588284476613,29.866666666666667,36.13333333333333,13.77075071577399,
