code,kge,kge_raw,nse,nse_raw,pbias,pbias_raw,lognse,crps,crps_raw,peak_timing_err,n,basin,domain,delta_kge,abs_pbias,abs_pbias_raw,d_abs_pbias,model,split,glacier_frac,area_km2,elevation,snow_frac,aridity
16223,0.17146321610875281,-0.11134258468410096,-1.4295227564768251,-0.9736297373086276,79.68047723977023,-9.594355595416713,0.1384515852141769,1.3886606998589455,,23.473684210526315,1347.0,ZERAFSHAN,transfer,0.2828058007928538,79.68047723977023,9.594355595416713,-70.08612164435351,regimeprobnet,pur,0.0,2.7776662290735823,2053.200439453125,0.3585120141506195,3.4356577396392822
17045,0.5108898709210544,0.44447363527425865,0.6424605812760631,0.316665481996378,-23.35077386638801,-52.02592570737344,0.5330203264066992,231.26341810344533,,12.066666666666666,456.0,PYANDZH,transfer,0.06641623564679577,23.35077386638801,52.02592570737344,28.67515184098543,regimeprobnet,pur,0.07005824409702086,4.904067906545744,4123.70458984375,0.7902113795280457,4.204928398132324
17047,0.24623871111974494,0.43776445503484895,-0.5652614643986011,0.16747542089084932,13.677315649242072,-49.73999761980133,0.3557333446588552,388.97947842649796,,18.785714285714285,446.0,PYANDZH,transfer,-0.19152574391510402,13.677315649242072,49.73999761980133,36.062681970559254,regimeprobnet,pur,0.05061023778539495,5.0829773917765,3486.21923828125,0.6589404344558716,3.667400360107422
17089,-0.14263553474496682,0.28665994457664035,-0.9198593618583244,0.2558140718648273,-6.137596017043436,-21.517237820572195,-3.7158971400131264,290.3203824069788,,23.08108108108108,1287.0,VAKSH,transfer,-0.42929547932160717,6.137596017043436,21.517237820572195,15.37964180352876,regimeprobnet,pur,0.12269464722542826,4.49087522794298,3406.896728515625,0.6664395332336426,1.7948790788650513
17137,0.22168100129628143,0.6174982363679012,-0.1805114546515023,0.5516499460879933,-49.810324905195934,-19.76360316620717,-0.3691973093771763,75.8249658372664,,49.75,630.0,KOFARNIKHAN,transfer,-0.3958172350716198,49.810324905195934,19.76360316620717,-30.046721738988765,regimeprobnet,pur,0.009581340668762511,3.991095909317863,1880.20947265625,0.3680938482284546,2.967853307723999
17194,0.6216020823644879,0.5954261099562235,0.6244095237824355,0.6614896239041884,-37.017968704044314,-18.63199144953326,0.6870265599363081,19.27116541877019,,15.375,843.0,SURKHANDARYA,transfer,0.026175972408264414,37.017968704044314,18.63199144953326,-18.385977254511054,regimeprobnet,pur,0.011428473021418358,3.2999085419080187,2668.199462890625,0.5937510132789612,2.2626471519470215
17202,0.5686184442127347,0.4175530114366576,0.5284879123526155,0.218167842102445,-42.47680631771069,-46.018638716046574,0.612799693135357,9.151717499191024,,17.666666666666668,515.0,KOFARNIKHAN,transfer,0.1510654327760771,42.47680631771069,46.018638716046574,3.5418323983358846,regimeprobnet,pur,0.028019283085355444,2.8345983516560525,2665.76318359375,0.5442464351654053,2.409407615661621
17211,0.5530688516377107,0.46421351215594475,0.5528790651528099,0.42945516418834373,-43.31259739661884,0.29706561727168984,0.5895507850628363,6.275767594504453,,14.052631578947368,1347.0,SURKHANDARYA,transfer,0.08885533948176594,43.31259739661884,0.29706561727168984,-43.01553177934715,regimeprobnet,pur,0.00035748708120080105,2.9572846582361714,2332.724853515625,0.4653218686580658,2.4165828227996826
17223,0.6874387331621088,0.8461979248584235,0.5006777478362162,0.7622644492337669,-11.459915318325239,-8.61529039592325,0.3799349128318784,1.478168651242593,,22.210526315789473,1347.0,SURKHANDARYA,transfer,-0.1587591916963147,11.459915318325239,8.61529039592325,-2.844624922401989,regimeprobnet,pur,0.0,2.8550827800538525,2180.003662109375,0.4024408757686615,2.5662214756011963
17288,0.3117986779088867,0.37162511019990874,-0.9664628537230713,-0.6130367557068523,61.90269572041127,58.89387301015002,0.7269126711677365,85.75907387132912,,8.444444444444445,625.0,ZERAFSHAN,transfer,-0.059826432291022025,61.90269572041127,58.89387301015002,-3.0088227102612564,regimeprobnet,pur,0.05329059078410662,4.012726372624906,3110.22998046875,0.6430427432060242,2.3467774391174316
17344,-0.2792467600410342,-1.3020916164380392,-4.3616004992347035,-18.15533694497693,124.43455661312554,225.78220073420067,-0.953210373357473,6.850983138798332,,19.444444444444443,620.0,ZERAFSHAN,transfer,1.022844856397005,124.43455661312554,225.78220073420067,101.34764412107513,regimeprobnet,pur,0.006168940316525429,3.043892087175583,2585.51416015625,0.5128040909767151,2.5732455253601074
17459,-0.9031853485705927,0.3509494602533183,-28.22969772785347,-0.02672480185177406,124.69714654805375,-0.8481634674438685,-3.7499163532859994,777.2669977162267,,17.545454545454547,347.0,VAKSH,transfer,-1.254134808823911,124.69714654805375,0.8481634674438685,-123.84898308060988,regimeprobnet,pur,0.10401782206496327,4.562593087970795,3000.514892578125,0.5806931853294373,2.174940347671509
17461,-0.5295632050432639,0.10698644075311403,-4.902130339784483,-1.6921514733476188,152.719247842487,87.52765132921662,-0.37858977827031337,192.01552767560892,,10.846153846153847,915.0,ZERAFSHAN,transfer,-0.636549645796378,152.719247842487,87.52765132921662,-65.19159651327037,regimeprobnet,pur,0.045015611416093365,4.091382668493253,2941.855712890625,0.5998570919036865,2.4707624912261963
17462,-1.4282325435846084,-1.0176749143408585,-55.42893216688307,-3.092878506297665,126.28449334127502,-10.804485443862154,-8.934273202470695,57.068850750113825,,55.07692307692308,412.0,VAKSH,transfer,-0.41055762924374983,126.28449334127502,10.804485443862154,-115.48000789741288,regimeprobnet,pur,0.07851084574306526,3.756998343932308,3579.9921875,0.5864440202713013,2.5799357891082764
