split,ref,vs,n,median_ref,median_vs,median_diff,win_fraction,wilcoxon_p,ci_lo,ci_hi
lobo,regimeprobnet,catboost,74,0.4476297137712385,0.5059175198548829,-0.10131953471574517,0.378,0.0078,,
lobo,regimeprobnet,ealstm,74,0.4476297137712385,0.4617832581026897,-0.04036595465688242,0.419,0.2104,,
lobo,regimeprobnet,lgbm,74,0.4476297137712385,0.49210224128875285,-0.01899524619686599,0.459,0.034,,
lobo,regimeprobnet,qmap,74,0.4476297137712385,0.4687101419366307,-0.008244179161415954,0.459,0.7526,,
lobo,regimeprobnet,scaling,74,0.4476297137712385,0.41296927354389873,0.04806850381601746,0.541,0.2523,,
lobo,regimeprobnet,xgb,74,0.4476297137712385,0.48922531725397206,-0.06634655975968329,0.419,0.0078,,
lobo,(CI),catboost,74,,0.506,,,,0.454,0.575
lobo,(CI),ealstm,74,,0.462,,,,0.384,0.527
lobo,(CI),lgbm,74,,0.492,,,,0.416,0.549
lobo,(CI),qmap,74,,0.469,,,,0.366,0.53
lobo,(CI),regimeprobnet,74,,0.448,,,,0.334,0.497
lobo,(CI),scaling,74,,0.413,,,,0.253,0.493
lobo,(CI),xgb,74,,0.489,,,,0.441,0.521
pur,regimeprobnet,catboost,14,0.4167766223825281,0.431248092365376,-0.05072410267085764,0.286,0.4263,,
pur,regimeprobnet,ealstm,14,0.4167766223825281,0.26210928035989506,-0.011009821861040436,0.429,0.9515,,
pur,regimeprobnet,lgbm,14,0.4167766223825281,0.4509550118048582,0.03446994093309941,0.5,0.9515,,
pur,regimeprobnet,qmap,14,0.4167766223825281,0.3460762411346504,0.038036459878127316,0.571,0.583,,
pur,regimeprobnet,scaling,14,0.4167766223825281,0.4402326447895095,0.08248907928295651,0.571,0.6257,,
pur,regimeprobnet,xgb,14,0.4167766223825281,0.2886041217438303,0.09052971948950828,0.643,0.4263,,
pur,(CI),catboost,14,,0.431,,,,-0.185,0.595
pur,(CI),ealstm,14,,0.262,,,,-0.335,0.476
pur,(CI),lgbm,14,,0.451,,,,-0.129,0.515
pur,(CI),qmap,14,,0.346,,,,-1.024,0.642
pur,(CI),regimeprobnet,14,,0.417,,,,-0.33,0.562
pur,(CI),scaling,14,,0.44,,,,-0.303,0.564
pur,(CI),xgb,14,,0.289,,,,-0.497,0.541
temporal,regimeprobnet,catboost,74,0.8248668951914911,0.7907214604643239,0.024395262404873885,0.662,0.0001,,
temporal,regimeprobnet,ealstm,74,0.8248668951914911,0.7933869548892681,0.032401057525552945,0.716,0.0002,,
temporal,regimeprobnet,lgbm,74,0.8248668951914911,0.8118799538197823,0.005030711116106978,0.554,0.4888,,
temporal,regimeprobnet,qmap,74,0.8248668951914911,0.7481160887596383,0.078604294309574,0.797,0.0,,
temporal,regimeprobnet,scaling,74,0.8248668951914911,0.7603996764340595,0.06838615550995614,0.73,0.0,,
temporal,regimeprobnet,xgb,74,0.8248668951914911,0.8015047486807119,0.009130108757114397,0.595,0.0842,,
temporal,(CI),catboost,74,,0.791,,,,0.763,0.82
temporal,(CI),ealstm,74,,0.793,,,,0.755,0.816
temporal,(CI),lgbm,74,,0.812,,,,0.787,0.855
temporal,(CI),qmap,74,,0.748,,,,0.708,0.78
temporal,(CI),regimeprobnet,74,,0.825,,,,0.802,0.843
temporal,(CI),scaling,74,,0.76,,,,0.709,0.788
temporal,(CI),xgb,74,,0.802,,,,0.775,0.85
